"","GEOID","DOY","b1","b2","lai"
"1",31007,1,0,0,0
"2",31007,9,0,0,0
"3",31007,17,0,0,0
"4",31007,25,0,0,0
"5",31007,33,0,0,0
"6",31007,41,0,0,0
"7",31007,49,0,0,0
"8",31007,57,0,0,0
"9",31007,65,0,0,0
"10",31007,73,0,0,0
"11",31007,81,0,0,0
"12",31007,89,0,0,0
"13",31007,97,0,0,0
"14",31007,105,0,0,0
"15",31007,113,0,0,0
"16",31007,121,0,0,0
"17",31007,129,0,0,0
"18",31007,137,0,0,0
"19",31007,145,0,0,0
"20",31007,153,0,0,0
"21",31007,161,0,0,0
"22",31007,169,0,0,0
"23",31007,177,0,0,0
"24",31007,185,0,0,0
"25",31007,193,0,0,0
"26",31007,201,0,0,0
"27",31007,209,0,0,0
"28",31007,217,0,0,0
"29",31007,225,0,0,0
"30",31007,233,0,0,0
"31",31007,241,0,0,0
"32",31007,249,0,0,0
"33",31007,257,0,0,0
"34",31007,265,0,0,0
"35",31007,273,0,0,0
"36",31007,281,0,0,0
"37",31007,289,0,0,0
"38",31007,297,0,0,0
"39",31007,305,0,0,0
"40",31007,313,0,0,0
"41",31007,321,0,0,0
"42",31007,329,0,0,0
"43",31007,337,0,0,0
"44",31007,345,0,0,0
"45",31007,353,0,0,0
"46",31007,361,0,0,0
"47",31045,1,0,0,0
"48",31045,9,0,0,0
"49",31045,17,0,0,0
"50",31045,25,0,0,0
"51",31045,33,0,0,0
"52",31045,41,0,0,0
"53",31045,49,0,0,0
"54",31045,57,0,0,0
"55",31045,65,0,0,0
"56",31045,73,0,0,0
"57",31045,81,0,0,0
"58",31045,89,0,0,0
"59",31045,97,0,0,0
"60",31045,105,0,0,0
"61",31045,113,0,0,0
"62",31045,121,0,0,0
"63",31045,129,0,0,0
"64",31045,137,0,0,0
"65",31045,145,0,0,0
"66",31045,153,0,0,0
"67",31045,161,0,0,0
"68",31045,169,0,0,0
"69",31045,177,0,0,0
"70",31045,185,0,0,0
"71",31045,193,0,0,0
"72",31045,201,0,0,0
"73",31045,209,0,0,0
"74",31045,217,0,0,0
"75",31045,225,0,0,0
"76",31045,233,0,0,0
"77",31045,241,0,0,0
"78",31045,249,0,0,0
"79",31045,257,0,0,0
"80",31045,265,0,0,0
"81",31045,273,0,0,0
